,state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
39,mississippi,-0.4169602562567015,-0.1302830786075232,-0.2967123641715177,-0.2579091023276957,-0.3082539027439799,-0.3813835979712941,-0.1290413396699088,MS
40,missouri,-0.544794833342644,-0.4875697431564331,-0.2599444739994883,-0.4852600391135196,-0.4817963079093701,-0.436864064348755,-0.1000134288763799,MO
41,newhampshire,-0.263634832862478,-0.4075700074236914,-0.2536091910777467,-0.3108416806306594,-0.244008770301504,-0.4112062355703559,-0.2469915948675934,NH
42,newjersey,-0.4705108043642557,-0.3530648482887304,-0.1753952974914122,-0.2797196593190013,-0.2513149237491513,-0.3501849876127484,-0.3797351766952092,NJ
43,newyork,-0.3351392222493534,-0.0425923466682434,-0.2985092305277029,-0.1455599563579036,-0.3303192917017206,-0.4453326958263742,-0.1570413187146186,NY
44,northdakota,-0.5208446108893062,-0.1904849849515042,-0.3526979060289827,-0.2386873596540046,-0.340823838532528,-0.4501411603382783,-0.4595965383908687,ND
45,oregon,-0.4089354377065622,-0.4208087546162594,-0.3048826680280966,-0.2956989504347857,-0.3370682520832948,-0.4299791274493017,-0.0049948170363345,OR
46,southcarolina,-0.5856351383306362,-0.4449807877500902,-0.2480187712036201,-0.3196168045850064,-0.4053650898855812,-0.3443861361325642,-0.7058238259236292,SC
47,vermont,-0.4453724161796631,-0.3415068540932322,-0.1333755473594834,-0.1971042973998853,-0.2136190775005559,-0.4136961071150643,-0.3193813316838842,VT
48,wisconsin,-0.5155731411844864,-0.4573347620354823,-0.3824439277820418,-0.3482873880936668,-0.3384431053779467,-0.3960557565769778,-0.1494164587937744,WI
49,wyoming,-0.3378554607060418,0.4624836452650112,-0.2191107994111566,-0.1675274268094859,-0.3715390456291101,-0.1178748963715194,-0.1729510096432287,WY
